"authorstr","Year","Source.title","Cited.by"
"Xu X.-R. et al.","2007","Ecotoxicology and Environmental Safety",23
"Xu X.-R. et al.","2006","Analytical and Bioanalytical Chemistry",23
"Torres G.G. et al.","2019","Environmental Pollution",22
"Vanegas J. et al.","2019","Fungal Ecology",22
"Das S. and De T.K.","2018","MethodsX",22
"Burford M.A. et al.","1998","Aquaculture Research",22
"Yu H. et al.","2021","Soil Biology and Biochemistry",21
"Wang C. et al.","2021","Journal of Hazardous Materials",21
"Osei E. et al.","2019","Marine Drugs",21
"Tang L. et al.","2017","Gene",21
"Li W. et al.","2016","Journal of Soils and Sediments",21
"Ling O.M. et al.","2016","Sains Malaysiana",21
"Jiang S. et al.","2016","Marine Pollution Bulletin",21
"Li L. et al.","2013","International Journal of Systematic and Evolutionary Microbiology",21
"Wang Y.-F. et al.","2014","Applied Microbiology and Biotechnology",21
"Marius C. and Lucas J.","1991","Journal of African Earth Sciences",21
"Scherrer P. and Mille G.","1989","Marine Pollution Bulletin",21
"Jiang Y. et al.","2020","Chemosphere",20
"Nathan V.K. et al.","2017","BioResources",20
"Foong C.P. et al.","2018","Journal of Polymer Research",20
"Sanka Loganathachetti D. et al.","2016","Current Microbiology",20
"Zainal N. et al.","2016","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",20
"Shao C. et al.","2014","International Journal of Systematic and Evolutionary Microbiology",20
"Izumikawa M. et al.","2012","Journal of Antibiotics",20
"Hu H. et al.","2011","Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology",20
"Wang Y. et al.","2004","Microbes and Environments",20
"Nielsen M.G. et al.","2003","Australian Journal of Entomology",20
"Puthusseri R.M. et al.","2021","Journal of Environmental Management",19
"Padhy S.R. et al.","2021","Science of the Total Environment",19
"Wang Q. et al.","2020","Science of the Total Environment",19
"Chen E. et al.","2020","Journal of Ecology",19
"Zheng Y.-Y. et al.","2020","Natural Product Research",19
"Tan L.T.-H. et al.","2019","Cancers",19
"Zheng J. et al.","2019","Journal of Soils and Sediments",19
"Sukhdhane K.S. et al.","2019","Polycyclic Aromatic Compounds",19
"Ho T.W. et al.","2015","Marine Biology",19
"Masdor N. et al.","2015","Biodiversitas",19
"Viswanath G. et al.","2015","Systematic and Applied Microbiology",19
"Balk M. et al.","2015","Frontiers in Microbiology",19
"Liang T.-W. et al.","2014","Bioprocess and Biosystems Engineering",19
"Gao Z.-M. et al.","2012","International Journal of Systematic and Evolutionary Microbiology",19
"Chen J.L. et al.","2009","Journal of Hazardous Materials",19
"Inoue T. et al.","2011","Plant and Soil",19
"Luo Z. et al.","2021","Microbiome",18
"Cao M. et al.","2021","Microorganisms",18
"Xu Y. et al.","2019","Soil Biology and Biochemistry",18
"Nguyen K.L. et al.","2017","Science of the Total Environment",18
"Ye X. et al.","2017","Natural Product Research",18
"Xu X.-X. et al.","2012","International Journal of Systematic and Evolutionary Microbiology",18
"Crevelin E.J. et al.","2013","Applied Biochemistry and Biotechnology",18
"Chen Q.-H. et al.","2009","Marine Pollution Bulletin",18
"Bharathkumar S. et al.","2008","World Journal of Microbiology and Biotechnology",18
"Burns K.A. et al.","1999","Mangroves and Salt Marshes",18
"Westing A.H.","1975","Ambio",18
"Yang Z. et al.","2022","Ecological Indicators",17
"Agusto L.E. et al.","2021","Estuarine, Coastal and Shelf Science",17
"Al Farraj D.A. et al.","2020","Journal of King Saud University - Science",17
"Santini N.S. et al.","2019","Ecosystems",17
"Huergo L.F. et al.","2018","Science of the Total Environment",17
"Feng J. et al.","2019","Forests",17
"Wang R.-J. et al.","2019","Marine Drugs",17
"Kalyani B.S. et al.","2019","Saudi Journal of Biological Sciences",17
"Yang B. et al.","2017","Journal of Antibiotics",17
"Gong B. et al.","2018","Iranian Journal of Pharmaceutical Research",17
"Zhang S. et al.","2015","Applied Microbiology and Biotechnology",17
"Meng L.-H. et al.","2016","Chirality",17
"Arai H. et al.","2016","Soil Science and Plant Nutrition",17
"Songsumanus A. et al.","2013","International Journal of Systematic and Evolutionary Microbiology",17
"Liang T.-W. et al.","2013","Carbohydrate Polymers",17
"Bao H. et al.","2013","Acta Oceanologica Sinica",17
"Laanbroek H.J. et al.","2012","Frontiers in Microbiology",17
"Limtong S. and Yongmanitchai W.","2010","Antonie van Leeuwenhoek",17
"Nitiyon S. et al.","2011","International Journal of Systematic and Evolutionary Microbiology",17
"Sharpe J.M.","2010","Wetlands Ecology and Management",17
"Auta H.S. et al.","2022","Journal of Environmental Management",16
"Alves K.J. et al.","2020","Brazilian Journal of Microbiology",16
"Li J. et al.","2020","International Biodeterioration and Biodegradation",16
"Purahong W. et al.","2019","Microorganisms",16
"Luvizotto D.M. et al.","2019","Anais da Academia Brasileira de Ciencias",16
"He D. et al.","2018","Organic Geochemistry",16
"Tian T. et al.","2017","Marine Pollution Bulletin",16
"Ghate S.D. and Sridhar K.R.","2016","Plant Biosystems",16
"Balk M. et al.","2016","Frontiers in Microbiology",16
"Tao H. et al.","2017","Natural Product Research",16
"Otero X.L. et al.","2014","Estuarine, Coastal and Shelf Science",16
"Fan Y. et al.","2014","International Journal of Systematic and Evolutionary Microbiology",16
"Chakraborty I. et al.","2015","Der Pharmacia Lettre",16
"Chen M. et al.","2014","Geoderma",16
"Lee L.-H. et al.","2015","International Journal of Systematic and Evolutionary Microbiology",16
"Limtong S. et al.","2008","FEMS Yeast Research",16
"Inoue T. et al.","2011","Plant and Soil",16
"Li C. et al.","2008","Chemistry of Natural Compounds",16
"Limtong S. et al.","2010","FEMS Yeast Research",16
"Tian Y. et al.","2020","Science of the Total Environment",15
"Zheng Y.-Y. et al.","2019","Marine Drugs",15
"Yin P. et al.","2018","Marine Environmental Research",15
"Ariyanto D.","2019","Plant Archives",15
"Zhou S. et al.","2019","ACS Chemical Biology",15
"Marcos M.S. et al.","2018","Microbial Ecology",15
"Muthusamy S. et al.","2019","Biofuels",15
"Arumugam T. et al.","2017","Microbial Pathogenesis",15
"Tripathi R. et al.","2016","Ecological Engineering",15
"da Silva I.R. et al.","2017","Acta Oecologica",15
"Ottoni J.R. et al.","2017","World Journal of Microbiology and Biotechnology",15
"Huu Phong T. et al.","2016","International Journal of Biological Macromolecules",15
"Lee G.-H. et al.","2014","International Journal of Systematic and Evolutionary Microbiology",15
"Kannahi M. and Sudha P.","2013","Journal of Chemical and Pharmaceutical Research",15
"Sathya R. and Ushadevi T.","2014","International Journal of Pharmacy and Pharmaceutical Sciences",15
"Chen J.L. et al.","2011","Journal of Hazardous Materials",15
"Matsumoto A. et al.","2010","International Journal of Systematic and Evolutionary Microbiology",15
"Vovides A.G. et al.","2011","Biology and Fertility of Soils",15
"Jiang Y.-X. et al.","2011","Journal of Bioscience and Bioengineering",15
"Kumar P.A. et al.","2008","International Journal of Systematic and Evolutionary Microbiology",15
"Haydon T.D. et al.","2021","Frontiers in Microbiology",14
"Pason P. et al.","2020","Biocatalysis and Agricultural Biotechnology",14
"Lam M.Q. et al.","2020","Genomics",14
"Bankole P.O. et al.","2020","Frontiers of Environmental Science and Engineering",14
"Liang Z.-Y. et al.","2019","Bioorganic Chemistry",14
"Rampadarath S. et al.","2018","World Journal of Microbiology and Biotechnology",14
"Bafana R. et al.","2019","Biotechnology Progress",14
"Suksaard P. et al.","2016","International Journal of Systematic and Evolutionary Microbiology",14
"Nair H.P. et al.","2014","Biotechnology Reports",14
"Lin Y. et al.","2015","Chinese Journal of Organic Chemistry",14
"Gonçalves A.C.S. et al.","2015","Genetics and Molecular Research",14
"Ren J. et al.","2013","International Journal of Systematic and Evolutionary Microbiology",14
"Ramírez-Elías M.A. et al.","2014","Applied Soil Ecology",14
"Dias A.C.F. et al.","2012","Brazilian Journal of Microbiology",14
"Bhattacharya S. et al.","2011","Australian Journal of Basic and Applied Sciences",14
"Ara I. et al.","2008","Journal of General and Applied Microbiology",14
"Mei K. et al.","2022","Chemosphere",13
"Cheng H. et al.","2020","Tree Physiology",13
"Li R. et al.","2020","Chemosphere",13
"Kijjanapanich P. et al.","2014","Critical Reviews in Environmental Science and Technology",13
"Shrivastava P. et al.","2015","Polish Journal of Microbiology",13
"Lang F.S. et al.","2016","Water, Air, and Soil Pollution",13
"Ameen F. et al.","2015","Journal of General and Applied Microbiology",13
"Peng M. et al.","2012","Canadian Journal of Microbiology",13
"Das S. et al.","2012","Geomicrobiology Journal",13
"Mishra R.R. et al.","2009","African Journal of Biotechnology",13
"Udo M.T.","2002","Journal of Environmental Sciences",13
"Devi T.S. et al.","2021","Archives of Microbiology",12
"Chen G. et al.","2020","Environmental Research Letters",12
"Shiau Y.-J. et al.","2020","Microorganisms",12
"Al-Shibli H. et al.","2019","PeerJ",12
